actual_failed,actual_hashin_fi,predicted_probability,predicted_class,distance_from_boundary
0,0.9998165774151528,0.9993957,1,0.00018342258484715934
0,0.9996406716223862,0.5357418,1,0.0003593283776137657
1,1.0005772498340206,0.44230145,0,0.0005772498340206322
0,0.9989606662432464,0.5421922,1,0.0010393337567535799
1,1.0017585387545342,0.34777153,0,0.0017585387545342446
0,0.998215101537931,0.6572557,1,0.0017848984620689734
0,0.9980519456342788,0.8268759,1,0.001948054365721208
1,1.0034613591185315,0.10152477,0,0.003461359118531515
0,0.9955390878397344,0.98774505,1,0.004460912160265562
1,1.0044689184815614,0.04672037,0,0.00446891848156139
1,1.0047713184489009,0.3970485,0,0.004771318448900885
1,1.0051495562632589,0.16837868,0,0.005149556263258859
1,1.0052553048942945,0.49408895,0,0.005255304894294488
1,1.0052906126189036,0.3496745,0,0.005290612618903623
0,0.9946137813947882,0.5808693,1,0.005386218605211823
0,0.9944502755516048,0.96979135,1,0.005549724448395188
1,1.0056813017264072,0.14885001,0,0.00568130172640724
0,0.993853540359462,0.5083968,1,0.006146459640537949
1,1.0062003306859124,0.2854743,0,0.006200330685912414
1,1.0072183858565316,0.32981277,0,0.007218385856531562
1,1.0072656237239257,0.40511817,0,0.007265623723925696
1,1.0074659915688302,0.11336048,0,0.00746599156883021
1,1.0078506344910447,0.31174025,0,0.007850634491044728
0,0.9911101732645156,0.7541767,1,0.00888982673548444
1,1.0088984634703182,0.13409968,0,0.008898463470318196
0,0.9909975015651208,0.9134997,1,0.009002498434879214
1,1.009146728148847,0.16855638,0,0.009146728148847094
1,1.0093704344130114,0.15119497,0,0.009370434413011441
0,0.9893826112046435,0.99267095,1,0.010617388795356453
0,0.9891320456995224,0.6296038,1,0.0108679543004776
1,1.0111387979925195,0.4416726,0,0.011138797992519489
1,1.0121219635513088,0.47574604,0,0.01212196355130879
0,0.9876618387620022,0.9993078,1,0.012338161237997802
0,0.987418291427436,0.69476676,1,0.012581708572564021
1,1.012813115173123,0.12164391,0,0.012813115173123002
0,0.987175984955562,0.77814186,1,0.012824015044437975
0,0.9867964856140652,0.63856924,1,0.013203514385934811
0,0.9863573094997624,0.6471798,1,0.013642690500237586
0,0.986022994450918,0.979093,1,0.013977005549081989
0,0.9859352772779963,0.7341777,1,0.014064722722003653
0,0.985759952574234,0.9973209,1,0.014240047425766011
0,0.9856823475140098,0.8798095,1,0.014317652485990151
0,0.9855493673590564,0.5638117,1,0.014450632640943595
1,1.0150198371966217,0.48949182,0,0.0150198371966217
0,0.984428407536692,0.5162828,1,0.01557159246330797
1,1.016496522028456,0.32102937,0,0.016496522028456084
1,1.0167878326920825,0.18069007,0,0.016787832692082505
1,1.0172507809189766,0.12805736,0,0.017250780918976583
0,0.9827323038833904,0.96993124,1,0.01726769611660961
0,0.9824640925182382,0.7995346,1,0.017535907481761814
0,0.9815432190753692,0.59540915,1,0.018456780924630767
0,0.9810580638650752,0.86595136,1,0.018941936134924786
1,1.0193561218471718,0.26314014,0,0.019356121847171837
1,1.0195260412735163,0.005098694,0,0.019526041273516315
0,0.9800794617796148,0.6696191,1,0.019920538220385198
0,0.9800771305803204,0.5611942,1,0.01992286941967958
0,0.9796223892422936,0.51827157,1,0.020377610757706388
1,1.0218414111199947,0.075293876,0,0.021841411119994714
0,0.9772328815336307,0.7053173,1,0.02276711846636925
1,1.0228065807010032,0.29375976,0,0.022806580701003165
1,1.02434494571519,0.3979137,0,0.02434494571519008
0,0.9755759989756034,0.739039,1,0.02442400102439657
0,0.9749483382376846,0.80995893,1,0.025051661762315436
0,0.9749109872725747,0.51257885,1,0.025089012727425253
1,1.0253734283107396,0.11585739,0,0.025373428310739632
0,0.974460864888396,0.98229593,1,0.025539135111603994
0,0.9733785793079984,0.97800636,1,0.026621420692001574
1,1.0269515012023038,0.4759136,0,0.02695150120230383
0,0.9701919444388916,0.8336044,1,0.029808055561108437
0,0.9699881035741978,0.9209176,1,0.030011896425802154
1,1.0321586223492234,0.47584033,0,0.0321586223492234
1,1.0332585287996674,0.030465601,0,0.0332585287996674
1,1.0338681245806642,0.059056524,0,0.03386812458066424
