metric,value
MAE,0.005723473362016772
RMSE,0.010911513881157471
R2,0.9995893152161819
Mean Error,-0.0012807390734578532
Median Absolute Error,0.0033258321145139824
Maximum Absolute Error,0.18553527624432653
