Nx,Ny,Nxy,Mx,My,Mxy,boundary_scale,load_multiplier,sampling_region,hashin_fi,max_stress_fi,tsai_hill_fi,tsai_wu_fi,failed,hashin_mode,hashin_ply,hashin_surface
-29.756714217414153,9.025858120764742,-71.14719733132958,52.367170508170396,23.947819898178988,-10.957164659666157,77.63037109375,1.2532059575469146,high_failed,1.5705386007921989,1.2210585149203677,1.6046239479945776,1.3546393088145712,1,matrix_tension,8,top
-64.67059308644897,-54.582842186869556,173.97878056233,124.3602082488151,-15.49423503118575,-20.65237164680822,224.130859375,1.032589525837557,boundary,1.066246839984614,0.9841803019132787,1.864312665039192,1.8740389211589659,1,matrix_tension,1,bottom
-11.84848665923442,16.089285876989983,-3.82915819288772,-40.33401741661266,-14.00625841601568,19.269268682978733,48.5498046875,1.051926072355021,near_boundary_failed,1.1065589228874515,1.0502368506760895,1.1175683236391334,1.0940248499081702,1,matrix_tension,2,bottom
7.886024577640127,22.418355509214855,-8.762702451046975,16.564950642933102,-15.112741391495657,2.1498895091096095,37.408447265625,0.9061184200172627,near_boundary_safe,0.8210612842681553,0.9021827641846558,0.8505880384882466,0.9450755956776267,0,matrix_tension,1,bottom
-10.18932203353649,26.9134056366222,16.607030937194594,22.65688548569409,-17.6348134677754,13.632465504819212,35.4833984375,1.2958025411705587,high_failed,1.6791263707364874,1.2670994307072405,1.7245517437964315,1.497005965037645,1,matrix_tension,1,bottom
6.882281755157834,11.911904830262301,2.7774423158514803,-8.532414197377182,-11.220307862807367,19.623828382514535,28.83935546875,0.9688906364754458,boundary,0.9387628937496085,0.9024119572005632,0.9389116591716463,0.9979301382553462,0,matrix_tension,1,bottom
44.04795815201738,-16.45857209677161,51.63247181913482,63.563921823993184,32.64858278796241,16.68539122174537,89.12744140625,1.1365766256744299,near_boundary_failed,1.2918120389358758,1.1308851958891077,1.3296531336613504,1.1704877197112287,1,matrix_tension,8,top
-6.966864794815793,-0.34072916240464374,-4.570690225477577,4.466772079866073,20.271114603866835,-8.743500469004143,19.725341796875,1.2176205652546748,high_failed,1.482616296338676,1.1984754385272254,1.4850581170714154,1.310810817661497,1,matrix_tension,8,top
-34.029396963357875,-50.29506543438236,-32.0843989260272,45.450872189563704,-20.851514254007675,9.035860188602905,58.25732421875,1.4665186278950029,high_failed,2.1507120451135435,1.4524293680629026,2.2946829186394897,1.833772827927486,1,matrix_tension,1,bottom
-36.827348454361626,-14.782629343138693,47.69621754839466,-12.333097854454312,23.693819026107658,9.62696198629022,60.7548828125,1.1231044599108768,near_boundary_failed,1.261373120058181,1.1211705157677045,1.2979057209980782,1.2229495633513452,1,matrix_tension,8,top
84.76267513784786,-11.683414980674057,100.60427331477935,-47.36235689396188,3.7766496747678264,30.66024019230558,154.5224609375,0.9297423043146869,near_boundary_safe,0.8644208878971268,0.9229493392463402,0.9686525198589994,1.0648651176726291,0,matrix_tension,2,bottom
-9.086131601669907,-2.6815267940382186,-11.680860698564878,9.267595929919024,8.045655033940669,-26.778082909166887,32.066162109375,1.031424306187165,boundary,1.0638500548695409,1.0245440822472678,1.1199892679811827,1.1350195250684922,1,matrix_tension,7,top
4.076642473203899,70.68523540013452,-13.292996688071845,8.714111989951496,-36.960120210480895,-36.39428688648421,64.240234375,1.3885043587089272,high_failed,1.9279715135025675,1.3192014285230422,1.9889610586107067,1.701467654621049,1,matrix_tension,1,bottom
8.55017062398143,-3.2199267168709547,12.605259573375015,1.7859617347063532,-0.32868190262587194,4.669057374780411,115.2080078125,0.14195469448134543,low_safe,0.020151218268740553,0.1404055421197761,0.0225723473534631,0.12487577984368577,0,matrix_tension,2,bottom
-11.140904821238253,-31.786024509409003,1.5940834848695442,-8.49751038074149,-0.3775510574507524,23.120780026611833,58.83544921875,0.7097833595473327,near_boundary_safe,0.5037958266702087,0.7089067809069592,0.5618979862381517,0.7561085392510264,0,matrix_tension,2,bottom
19.738867572503214,9.614889166553725,23.341623849083874,-9.565348097921767,-14.222107408906224,21.68204627819418,36.425537109375,1.1617552329971477,near_boundary_failed,1.3496923558306642,1.091961171747144,1.3496766234290665,1.2659388396420146,1,matrix_tension,1,bottom
