Nx,Ny,Nxy,Mx,My,Mxy,max_stress_fi,tsai_hill_fi,tsai_wu_fi,hashin_fi,hashin_mode,failed,hashin_ply,hashin_surface
40940.29684833725,-139727.17926199344,100826.95315689544,126369.67617686826,-262131.54789160824,-174954.47122205308,11130.356268200014,131538465.50549978,35798584.884019114,127110859.18016846,matrix_tension,True,1,bottom
-87876.50582807862,-4668.6532778609235,-237041.1876449066,244364.36815972795,216130.39862921427,18348.404419750368,9913.193543221318,98869989.98847485,24449745.51414491,98659537.19284113,matrix_tension,True,8,top
106833.96836700995,-196363.18571829834,84265.93019983104,-219121.25424311403,200741.0830546689,-11408.933924841067,11670.080196501294,142163589.41436288,36797974.37312076,136918400.19286144,matrix_tension,True,8,top
-13356.627672368835,23980.49784877843,-3031.1399664758615,-8401.772678783065,-6907.20025804971,10441.396847072716,514.1035061252207,300215.3271275936,101781.54162501663,299645.5946143637,matrix_tension,True,1,bottom
40344.45980182337,42112.59335777112,209345.25917125176,-39726.917211564185,-50071.53690106857,-79545.98255675065,1206.0703889240635,2120823.444627455,1333218.4577861815,2120500.396174713,matrix_tension,True,1,bottom
247053.9682661891,-24935.21919801451,-183852.15734381918,-180421.9265705308,142369.77381445075,162646.94325107237,5319.969256600126,36318906.83737318,13679193.169113453,32611703.198391072,matrix_tension,True,8,top
-270433.4130507988,125416.38345845901,-153668.71902725578,53606.931247750676,26943.196504774965,50496.02756678892,741.6850355499637,887870.7255388275,492664.5294186765,550511.0289393307,matrix_tension,True,6,top
49685.07633383658,150861.10788053187,15016.717660639799,64245.10448542227,140278.30098284886,-323794.00456124253,13416.523427743132,197390854.05621216,71459099.24138796,197414053.86886618,matrix_tension,True,8,top
-62749.91775849806,-85229.3007876286,-36705.26651325117,199432.18101141302,-115505.93089682465,129172.87296239803,9238.166491042584,93892989.47734489,27992621.342561644,91016122.23639725,matrix_tension,True,1,bottom
-56879.97058848607,27643.485756147147,99569.42228037445,120801.29990309077,134749.43148860766,-59230.69136235016,7587.961556268415,59797509.4205342,16120278.035524487,59772895.985939436,matrix_tension,True,8,top
60398.4774036235,-13467.150063294772,-89803.8199644258,-79779.42466926885,-64726.19957382427,34998.3637322084,3667.11592685312,14162380.888898658,3985814.328938114,14124750.325881362,matrix_tension,True,1,bottom
53965.08295842871,-33392.054397574306,12390.71550287922,48893.198544411156,-24177.06846431835,35699.401070456894,2120.4739718468163,5050526.891155811,1578583.7951065593,4894946.366333813,matrix_tension,True,1,bottom
-20881.480551432338,-21956.116109741106,-68780.16178110821,28008.8104913779,-26998.24263116072,718.6143314218546,1548.5159293655602,2497978.2588079423,644747.5365334671,2408443.454404185,matrix_tension,True,1,bottom
12317.374742290822,18354.368463195988,-2716.680680986314,-11676.505957732626,-2198.993329534611,-46544.41090410782,1269.235017012049,1897209.6395386404,655952.6240141906,1628932.967837068,matrix_tension,True,7,top
-219764.9070540289,-165691.32880266046,66421.99404752847,-150444.22677826858,-62831.24132156554,215865.17712565543,8409.68854582802,74734227.90281843,24380846.620697506,71206349.41923712,matrix_tension,True,2,bottom
45135.60414303963,-57136.96066573193,-12572.68142460908,-58140.90065478349,-20748.663973359646,51426.46077191868,2220.096856824795,5113766.620567738,1656451.6195604717,4951847.181278764,matrix_tension,True,2,bottom
55846.08533652449,30561.41840488242,-76379.24321453944,-185893.8194030513,9272.401958124665,-68067.41634522306,2521.5236341610243,8846791.84669432,3600709.7203532066,7417765.482812032,matrix_tension,True,8,top
2843.70744521398,208445.9191409516,-31148.308946080237,-133191.83861393557,23329.85826603712,28629.051891575054,1290.5051547038931,2817100.5280264253,1284829.0772778715,1834046.2031411165,matrix_tension,True,8,top
103572.57327917418,44260.03613985557,181482.4631711019,-147433.34993721585,-79343.57587727287,-114916.25224714054,1926.9395465649948,4321099.863178219,2806547.126712271,4165778.139681014,matrix_tension,True,1,bottom
-29293.50321530666,13514.915026739465,-4728.515140166164,-31296.21736485486,-21609.768597990842,6671.03312881255,1113.9413541437598,1287340.413495941,351027.09976940387,1280059.9025787618,matrix_tension,True,1,bottom
80621.2180411787,117651.87897450803,16732.446729542844,-39954.191557357546,-86084.79429448095,10809.280443123806,4525.296900590744,20744587.399472125,5178875.53099092,20737945.46349239,matrix_tension,True,1,bottom
-88299.11687695193,-130123.17824132634,-29930.16404603607,226612.41781621779,33386.318578409635,-33723.53720355276,2501.510738675271,6353568.15390009,2430736.2599672824,6352789.378402767,matrix_tension,True,7,top
-287327.5337055198,-83436.48126194761,-9227.542283084438,303326.03758784727,22351.36930117784,168609.8976944391,3499.154757347948,19127458.747094147,10553358.636800352,16095016.26881305,matrix_tension,True,1,bottom
-66181.68090291145,-53903.86565368424,-40505.44957986446,118879.65373198446,-45876.228596656365,46831.44170631066,3762.416691459747,15772890.042976212,4725206.7990464065,14896860.766622677,matrix_tension,True,1,bottom
23072.81817632015,9534.307590508051,-3879.543183668889,-1009.5895232393653,-16217.512993555847,11048.13327143501,1042.8578888287357,1145403.1438601105,317979.6030426893,1142563.324600351,matrix_tension,True,1,bottom
-135669.00817382528,-141461.90262934534,19104.700966951692,174798.2515312713,17710.347137173227,-13132.725473855779,1336.1921351777705,1910387.3725917381,1032267.3650729479,1908877.6772494675,matrix_tension,True,7,top
