model,architecture,parameters,best_epoch,total_epochs,MAE,RMSE,R2
Baseline,"[64, 64, 32]",6721,108,138,0.005487270176751002,0.010539487720386587,0.9996208840543865
Large,"[128, 128, 64, 32]",27777,147,177,0.005320860425840517,0.011760656450182327,0.999527941117292
Small,"[32, 16]",769,161,191,0.009243423105098894,0.01719211786654845,0.9989912308162863
