threshold,accuracy,precision,recall,f1_score,false_positives,false_negatives
0.1,0.962,0.9359949302915083,0.991275167785235,0.9628422425032594,101,13
0.15000000000000002,0.9643333333333334,0.9446945337620579,0.9859060402684564,0.9648604269293924,86,21
0.20000000000000004,0.9656666666666667,0.949449125081011,0.9832214765100671,0.9660402242004615,78,25
0.25000000000000006,0.9683333333333334,0.9555845852384063,0.9818791946308725,0.9685534591194969,68,27
0.30000000000000004,0.968,0.9573490813648294,0.9791946308724833,0.9681486396814863,65,31
0.3500000000000001,0.967,0.958470665787739,0.9758389261744966,0.9670768207515796,63,36
0.40000000000000013,0.9676666666666667,0.962176509621765,0.9731543624161074,0.9676343009676343,57,40
0.45000000000000007,0.9666666666666667,0.9639519359145527,0.9691275167785235,0.9665327978580991,54,46
0.5000000000000001,0.9653333333333334,0.9657258064516129,0.9644295302013423,0.9650772330423103,51,53
0.5500000000000002,0.9676666666666667,0.9709263015551048,0.963758389261745,0.9673290670259347,43,54
0.6000000000000002,0.9683333333333334,0.9741672331747111,0.961744966442953,0.9679162445119892,38,57
0.6500000000000001,0.967,0.9760438056125941,0.9570469798657718,0.9664520501524907,35,64
0.7000000000000002,0.966,0.977961432506887,0.9530201342281879,0.9653297076818491,32,70
0.7500000000000002,0.9643333333333334,0.9798750867453158,0.9476510067114094,0.9634936881610372,29,78
0.8000000000000002,0.9636666666666667,0.9838822704975473,0.9422818791946309,0.9626328419609188,23,86
0.8500000000000002,0.96,0.9858156028368794,0.9328859060402684,0.9586206896551724,20,100
0.9000000000000002,0.9543333333333334,0.9870410367170627,0.9201342281879195,0.9524140326502257,18,119
